date,fund,return,growth_of_1,drawdown
2021-02-26,Combined Equal Weight,-0.010366431104046593,1.387803200230099,-0.05013687684381363
2021-03-01,Combined Equal Weight,0.027648109503017663,1.4261733350786991,-0.023874957201913127
2021-03-02,Combined Equal Weight,-0.004995095667853329,1.4190494628310397,-0.028750795174476873
2021-03-03,Combined Equal Weight,-0.00033320893871828755,1.4185766228655412,-0.029074424091247608
2021-03-04,Combined Equal Weight,-0.009153766461762134,1.405591303751715,-0.03796205006486819
2021-03-05,Combined Equal Weight,0.013226334721981786,1.424182124817442,-0.025237814123776903
2021-03-08,Combined Equal Weight,0.004461557087061158,1.430536194669687,-0.020888856985181614
2021-03-09,Combined Equal Weight,0.013254338704809365,1.4494970059233283,-0.007911386266010068
2021-03-10,Combined Equal Weight,0.0034800257662523444,1.4545412928520471,-0.004458892327810271
2021-03-11,Combined Equal Weight,0.004812708500153618,1.4615415760959807,0.0
2021-03-12,Combined Equal Weight,0.002555291877315303,1.4652762414137372,0.0
2021-03-15,Combined Equal Weight,-0.0011713058424096994,1.4635599547914253,-0.0011713058424096534
2021-03-16,Combined Equal Weight,0.007015489487125953,1.473827544268043,0.0
2021-03-17,Combined Equal Weight,0.00692559633696336,1.4840346789099417,0.0
2021-03-18,Combined Equal Weight,-0.01504850789771685,1.4617021713238798,-0.015048507897716834
2021-03-19,Combined Equal Weight,-0.0007063611481626299,1.4606696816998717,-0.015744239364562707
2021-03-22,Combined Equal Weight,-0.00010487066879600714,1.4605165002934617,-0.015847458924446833
2021-03-23,Combined Equal Weight,-0.005565115183487839,1.4523885577419442,-0.021324381173654428
2021-03-24,Combined Equal Weight,-0.013883901971090518,1.4322237373823214,-0.03491221752693585
2021-03-25,Combined Equal Weight,0.00575361294981287,1.4404641984247537,-0.029359475963992687
2021-03-26,Combined Equal Weight,0.03094468102817685,1.4850389035775162,0.0
2021-03-29,Combined Equal Weight,0.0072085187609616285,1.4957438343747127,0.0
2021-03-30,Combined Equal Weight,-0.0005418116981099118,1.4949334228678726,-0.0005418116981099619
2021-03-31,Combined Equal Weight,0.010304119991946515,1.5103373962370743,0.0
2021-04-01,Combined Equal Weight,0.014672578757863942,1.5324979406343098,0.0
2021-04-05,Combined Equal Weight,0.02308196696215761,1.5678710074696054,0.0
2021-04-06,Combined Equal Weight,0.005966440099026121,1.5772256159186724,0.0
2021-04-07,Combined Equal Weight,-0.013625912450554611,1.5557344777613924,-0.013625912450554667
