trading_date,ticker,sector,article_count,text,word_count
2020-02-20,V,Financials,1,3 Reasons Visa Stock Remains a Solid Bet for Income Investors,11
2020-02-20,WFC,Financials,2,Why Did Buffett Sell Shares of These 8 Stocks in the Fourth Quarter? | Why Wells Fargo Stock Looks Poised to Rebound,22
2020-02-20,ABT,Healthcare,5,"Abbott Labs Recalls Some Catheters Due to Possible Defects | Abbott Presents Data Showing its Glucose Monitor Helps People With Diabetes | Abbott's FreeStyle Libre Shows Positive Outcomes For Type 1, Type 2 Diabetes | Health Care Sector Update for 02/20/2020: TOCA, FMS, TEVA, JNJ, ABT, MRK, PFE, AMGN | The Growth Opportunity That Will Move Medtronic Ahead of Its Rivals",61
2020-02-20,GILD,Healthcare,2,"Notable Thursday Option Activity: STX, UNP, GILD | Why Wells Fargo Stock Looks Poised to Rebound",16
2020-02-20,MRK,Healthcare,4,"FDA Grants Priority Review to Roche's Lung Cancer Drug Tecentriq | Merck's Chief Digital Officer Leaves to Join Marriott | The Daily Biotech Pulse: Heron Pain Drug Review Extended, Disappointment For Teva In Tourette Syndrome Study | Why Merck Has Had Underwhelming Start To 2020",45
2020-02-20,BA,Industrials,1,Boeing Bags Five-year U.S. Air Force Contract For Undisclosed Amount,10
2020-02-20,CAT,Industrials,2,"Dow Movers: INTC, DOW | Trinity Industries' Quarterly Profit Falls But Revenues Rise",13
2020-02-20,GE,Industrials,1,Where to Store (and Invest In) All That Solar and Wind Power,12
2020-02-20,MMM,Industrials,6,"3M CEO Says China Could Still Be In-line With Prior Growth Expectation For 2020, Despite Some Signs Of Coronavirus Impact On Q1; But Full Impact Of The Epidemic Will Become Known In A Few Weeks | 3M CEO Says Co Is Ramping Production Of Respiratory Protection And Some Health Care Products To Full Capacity In China And Globally To Support Demand | 3M CEO, Presenting At Barclays Conference, Says Co.'s Respiratory, Health Care Businesses Has Offset Some Of The Impact Related To Coronavirus | 3M Reports Settlement Deal With Wolverine World Wide; 3M Will Make Fixed Financial Contribution Of $55M | 3M Settles With Wolverine Worldwide | Notable Thursday Option Activity: GTN, HRTX, MMM",114
2020-02-20,DD,Materials,1,T. Rowe Price Equity Income Fund Comments on DuPont de Nemours,11
